Recursive Feature Elimination,Select From Model,Mutual Information,All
Delta_TP9,Delta_TP9,Delta_TP9,Delta_TP9
Delta_AF7,Delta_AF7,Beta_TP9,Delta_AF7
Delta_TP10,Delta_AF8,Gamma_TP9,Delta_AF8
Theta_TP9,Delta_TP10,Theta_TP9,Delta_TP10
Theta_TP10,Theta_TP9,Alpha_TP9,Theta_TP9
Alpha_TP9,Theta_AF7,Beta_TP10,Theta_AF7
Alpha_AF7,Theta_AF8,Delta_TP10,Theta_AF8
Beta_TP9,Theta_TP10,Alpha_TP10,Theta_TP10
Beta_AF7,Alpha_TP9,Gamma_TP10,Alpha_TP9
Beta_TP10,Alpha_AF7,Theta_TP10,Alpha_AF7
Gamma_TP9,Alpha_AF8,Delta_AF7,Alpha_AF8
Gamma_AF7,Alpha_TP10,Gamma_AF7,Alpha_TP10
Gamma_AF8,Beta_TP9,Alpha_AF7,Beta_TP9
Gamma_TP10,Beta_AF7,Theta_AF7,Beta_AF7
Accelerometer_X,Beta_AF8,Beta_AF7,Beta_AF8
,Beta_TP10,Gamma_AF8,Beta_TP10
,Gamma_TP9,Beta_AF8,Gamma_TP9
,Gamma_AF7,Alpha_AF8,Gamma_AF7
,Gamma_AF8,Theta_AF8,Gamma_AF8
,Gamma_TP10,Delta_AF8,Gamma_TP10
,Accelerometer_X,RAW_AF8,RAW_TP9
,Accelerometer_Y,Gyro_Y,RAW_AF7
,Accelerometer_Z,,RAW_AF8
,Gyro_X,,RAW_TP10
,,,AUX_RIGHT
,,,Accelerometer_X
,,,Accelerometer_Y
,,,Accelerometer_Z
,,,Gyro_X
,,,Gyro_Y
,,,Gyro_Z
